# cell=50 originX=-500 originY=-500
38.28,41.28,44.28,47.28,50.28,53.28,56.28,59.28,60.0,59.28,56.28,53.28,50.28,47.28,44.28,41.28,38.28,35.28,32.28,29.28,26.28
37.94,40.94,43.94,46.94,49.94,52.94,55.94,58.94,59.66,58.94,55.94,52.94,49.94,46.94,43.94,40.94,37.94,34.94,31.94,28.94,25.94
37.6,40.6,43.6,46.6,49.6,52.6,55.6,58.6,59.31,58.6,55.6,52.6,49.6,46.6,43.6,40.6,37.6,34.6,31.6,28.6,25.6
37.26,40.26,43.26,46.26,49.26,52.26,55.26,58.26,58.97,58.26,55.26,52.26,49.26,46.26,43.26,40.26,37.26,34.26,31.26,28.26,25.26
36.92,39.92,42.92,45.92,48.92,51.92,54.92,57.92,58.63,57.92,54.92,51.92,48.92,45.92,42.92,39.92,36.92,33.92,30.92,27.92,24.92
36.58,39.58,42.58,45.58,48.58,51.58,54.58,57.58,58.29,57.58,54.58,51.58,48.58,45.58,42.58,39.58,36.58,33.58,30.58,27.58,24.58
36.24,39.24,42.24,45.24,48.24,51.24,54.24,57.24,57.94,57.24,54.24,51.24,48.24,45.24,42.24,39.24,36.24,33.24,30.24,27.24,24.24
35.9,38.9,41.9,44.9,47.9,50.9,53.9,56.9,57.6,56.9,53.9,50.9,47.9,44.9,41.9,38.9,35.9,32.9,29.9,26.9,23.9
35.56,38.56,41.56,44.56,47.56,50.56,53.56,56.56,57.26,56.56,53.56,50.56,47.56,44.56,41.56,38.56,35.56,32.56,29.56,26.56,23.56
35.22,38.22,41.22,44.22,47.22,50.22,53.22,56.22,56.91,56.22,53.22,50.22,47.22,44.22,41.22,38.22,35.22,32.22,29.22,26.22,23.22
34.88,37.88,40.88,43.88,46.88,49.88,52.88,55.88,56.57,55.88,52.88,49.88,46.88,43.88,40.88,37.88,34.88,31.88,28.88,25.88,22.88
34.54,37.54,40.54,43.54,46.54,49.54,52.54,55.54,56.23,55.54,52.54,49.54,46.54,43.54,40.54,37.54,34.54,31.54,28.54,25.54,22.54
34.2,37.2,40.2,43.2,46.2,49.2,52.2,55.2,55.89,55.2,52.2,49.2,46.2,43.2,40.2,37.2,34.2,31.2,28.2,25.2,22.2
33.86,36.86,39.86,42.86,45.86,48.86,51.86,54.86,55.54,54.86,51.86,48.86,45.86,42.86,39.86,36.86,33.86,30.86,27.86,24.86,21.86
33.52,36.52,39.52,42.52,45.52,48.52,51.52,54.52,55.2,54.52,51.52,48.52,45.52,42.52,39.52,36.52,33.52,30.52,27.52,24.52,21.52
33.18,36.18,39.18,42.18,45.18,48.18,51.18,54.18,54.86,54.18,51.18,48.18,45.18,42.18,39.18,36.18,33.18,30.18,27.18,24.18,21.18
32.84,35.84,38.84,41.84,44.84,47.84,50.84,53.84,54.51,53.84,50.84,47.84,44.84,41.84,38.84,35.84,32.84,29.84,26.84,23.84,20.84
32.5,35.5,38.5,41.5,44.5,47.5,50.5,53.5,54.17,53.5,50.5,47.5,44.5,41.5,38.5,35.5,32.5,29.5,26.5,23.5,20.5
32.16,35.16,38.16,41.16,44.16,47.16,50.16,53.16,53.83,53.16,50.16,47.16,44.16,41.16,38.16,35.16,32.16,29.16,26.16,23.16,20.16
31.82,34.82,37.82,40.82,43.82,46.82,49.82,52.82,53.49,52.82,49.82,46.82,43.82,40.82,37.82,34.82,31.82,28.82,25.82,22.82,19.82
31.48,34.48,37.48,40.48,43.48,46.48,49.48,52.48,53.14,52.48,49.48,46.48,43.48,40.48,37.48,34.48,31.48,28.48,25.48,22.48,19.48
